iter	Passed	Remaining
0	65	100044
1	74	56718
2	80	40978
3	91	34730
4	99	30019
5	108	27297
6	115	25083
7	122	23151
8	132	22205
9	138	20876
10	144	19875
11	152	19123
12	158	18393
13	165	17839
14	176	17708
15	183	17255
16	190	16826
17	197	16472
18	199	15771
19	205	15394
20	211	15076
21	219	14971
22	226	14752
23	233	14571
24	240	14398
25	249	14318
26	254	14106
27	261	13957
28	268	13800
29	273	13577
30	277	13345
31	287	13364
32	294	13297
33	302	13234
34	307	13072
35	313	12937
36	319	12814
37	325	12704
38	332	12620
39	341	12627
40	346	12508
41	352	12401
42	360	12381
43	367	12325
44	373	12250
45	380	12214
46	387	12163
47	396	12175
48	402	12105
49	412	12143
50	420	12123
51	427	12072
52	434	12023
53	441	11992
54	454	12102
55	460	12047
56	466	11986
57	475	11998
58	482	11943
59	488	11891
60	495	11850
61	501	11806
62	509	11786
63	515	11727
64	521	11688
65	529	11682
66	538	11677
67	544	11635
68	553	11637
69	561	11631
70	570	11641
71	578	11632
72	585	11613
73	592	11579
74	598	11547
75	606	11540
76	613	11506
77	621	11505
78	630	11501
79	639	11514
80	645	11483
81	653	11465
82	659	11429
83	666	11402
84	673	11376
85	680	11353
86	688	11346
87	694	11304
88	700	11266
89	708	11267
90	715	11237
91	722	11218
92	729	11203
93	737	11191
94	744	11176
95	751	11156
96	757	11114
97	763	11081
98	770	11061
99	776	11027
100	782	10999
101	788	10963
102	795	10945
103	800	10908
104	807	10890
105	814	10869
106	821	10859
107	829	10846
108	836	10831
109	842	10805
110	849	10791
111	856	10778
112	862	10745
113	873	10778
114	881	10781
115	885	10721
116	892	10710
117	899	10692
118	906	10679
119	913	10661
120	920	10644
121	926	10629
122	934	10618
123	940	10591
124	947	10576
125	953	10558
126	960	10540
127	966	10519
128	974	10519
129	983	10528
130	991	10518
131	998	10507
132	1004	10481
133	1012	10475
134	1019	10468
135	1020	10391
136	1029	10399
137	1035	10376
138	1041	10358
139	1049	10351
140	1056	10335
141	1064	10339
142	1072	10331
143	1079	10322
144	1084	10291
145	1090	10265
146	1095	10239
147	1102	10231
148	1109	10212
149	1117	10216
150	1124	10204
151	1130	10186
152	1137	10167
153	1145	10164
154	1152	10156
155	1160	10157
156	1166	10138
157	1174	10133
158	1182	10130
159	1190	10127
160	1195	10099
161	1202	10084
162	1210	10088
163	1217	10071
164	1225	10071
165	1232	10061
166	1239	10046
167	1246	10040
168	1253	10028
169	1259	10008
170	1265	9992
171	1271	9971
172	1275	9941
173	1282	9928
174	1288	9913
175	1295	9903
176	1304	9901
177	1308	9875
178	1316	9870
179	1325	9874
180	1332	9867
181	1335	9822
182	1341	9807
183	1352	9824
184	1358	9810
185	1366	9809
186	1375	9811
187	1386	9829
188	1394	9825
189	1403	9829
190	1411	9827
191	1418	9820
192	1426	9812
193	1436	9825
194	1443	9818
195	1452	9822
196	1461	9822
197	1467	9805
198	1474	9797
199	1482	9794
200	1489	9783
201	1495	9762
202	1501	9747
203	1509	9743
204	1517	9738
205	1523	9725
206	1530	9713
207	1536	9699
208	1545	9701
209	1554	9703
210	1560	9689
211	1569	9692
212	1577	9686
213	1584	9677
214	1592	9673
215	1598	9660
216	1605	9644
217	1611	9632
218	1619	9629
219	1626	9619
220	1633	9606
221	1640	9598
222	1646	9586
223	1652	9565
224	1660	9563
