album,album_0,album_1,album_2,album_3,album_4,album_5,album_6
#CATENA (Cover),-0.029743409,-0.0033607476,0.039337628,0.046744645,-0.017925624,-0.0059003066,0.037811756
#CATENA (Single),0.007001749,0.011832936,0.010104483,0.008574592,-0.0076779863,0.030238766,0.030085083
#NTDVH (Single),-0.008251682,-0.0006217137,0.03541209,-0.017019738,-0.01596942,-0.012697414,0.04399922
0 Giờ 2 Phút (Remix),0.0009611858,0.0031531225,-0.0101684155,0.014675449,0.00945016,-0.0126647,0.008984246
0911106221,-0.013350216,0.007679823,-0.014641769,-0.006083168,-0.040605545,0.017409006,-0.036602825
1 Giờ Khuya (Single),0.031255465,-0.0043269335,0.0108800735,0.047037974,0.018400757,-0.01869078,0.01383655
1 Lần (Remix Single),-0.020568866,-0.009521225,-0.018543292,0.01717073,-0.043092217,0.013473618,0.022886647
100 Tuyệt Phẩm Hạnh Phúc Trăm Năm,0.011434182,0.02811929,0.0397837,-0.0062813363,0.020312533,-0.0025705881,0.041323338
11 P.M (Single),0.001104646,0.0243954,0.03544429,0.018234877,0.003226991,0.0064197793,0.02007845
12 Giờ Khuya,0.021988992,0.007706703,0.005552279,-0.007221423,0.009252386,-0.033623878,-0.05064108
123 Em Yêu Anh (Single),0.0014738716,0.00068084075,0.03818903,-0.014503093,0.024178542,-0.031728767,0.066359766
123 Lên (Dance Remix),-0.03189037,0.01146083,0.01748735,0.008209474,0.005500595,0.037074905,0.04336088
1234 (Cover) (Single),-0.016128466,-0.023520667,-0.0036441232,0.009035621,-0.003075913,0.0061679543,0.02734437
14/2 Cô Đơn (Single),-0.013001877,-0.012955947,0.025823623,0.040117405,0.0069587333,0.0055865897,0.023720112
15 Năm Xa Quê Hương,0.014255511,-0.020068346,0.023949988,0.00016758517,0.027417209,-0.0047394633,0.018848073
19 Năm 1 Tình Yêu,0.019260842,0.014536763,0.00916938,-0.02925239,0.0208419,-0.026847983,-0.0123652015
2 Ngón (Single),-0.013499026,0.032130916,0.029395241,-0.008879875,-0.028241357,0.002712871,0.0075019435
24H (Single),0.0072266147,-0.0061818967,0.021593597,0.021626556,-0.02078705,0.003424131,0.053956974
26XX (Single),0.019428596,-0.0005796477,-0.018656466,-0.0067414357,-0.026556645,-0.02182971,0.002427061
3 Phút (Single),-0.0013790887,0.019977834,0.006389688,0.021857616,-0.0044597373,-0.014942922,0.039571594
3 Đi (Đi. Đi. Đi) (Single),-0.025870536,0.003197508,0.04591123,0.034538165,-0.014050638,0.010410225,0.024868177
30,0.006636654,-0.012079102,-0.048765015,-0.01758019,-0.026245499,-0.0113802515,-0.05571429
30 Năm Viễn Xứ,-0.0114102755,0.0036611531,-0.07531043,-0.005232909,-0.022520099,0.026049132,-0.0854187
3T (Tôi Tồn Tại) (G-House Version) (Single),-0.015082968,0.009052625,-0.0015287172,0.011766123,-0.0117222415,0.010399461,0.037751574
3T (Tôi Tồn Tại) (Single),-0.0048878705,0.0022441288,0.013216192,-0.02302822,0.006747443,-0.01745899,0.017954348
4 3 2 1 (Single),-0.0012072645,-0.011013341,0.008699977,0.020046558,0.023702424,-0.03893865,0.02159867
4 Barz Of Fury (Barely Alive Remix) (Single),-0.013356579,0.013873568,0.0061370702,0.0258498,0.008473022,0.02226677,-0.006418328
5 Giờ Sáng (Single),0.016666306,0.0163644,0.022868764,-0.00031984932,0.019874383,-0.008044583,0.033365246
50% Khi Yêu,0.027107144,0.008527351,0.006118305,-0.011901371,0.048729878,-0.023235343,0.03282134
7,0.023684274,-0.016738096,0.003678952,0.0068679885,0.024791535,-0.02659238,0.007088336
7000 Đêm Góp Lại,0.031463336,0.030621255,0.031268347,0.0077911406,-0.010011887,-0.039311945,0.08977892
8 Dòng Yêu (Single),0.004486808,-0.018264918,-0.062480044,-0.02988213,-0.026755277,0.015010975,-0.07857862
A Night Of Bar (Single),0.0294528,0.020264301,-0.058573376,-0.048612636,0.004615602,0.035861634,-0.060766198
A Ă Â (Single),-0.017152945,-0.026339531,0.050274976,0.0076838434,0.029956091,-0.019131672,0.07529013
AH (Single),-0.00030724556,0.0079856245,-0.060481526,0.03368777,0.0016242668,0.039004482,-0.08486943
Acoustic Cover (EP),0.02519663,0.059567135,0.0039307447,-0.011683407,0.045351777,0.0016629301,-0.042800676
Ai Bằng Anh,-0.0107582575,-0.014436101,-0.010459769,0.0033322915,0.008232263,0.0035230033,0.0128207775
Ai Cho Tôi Tình Yêu,-0.018554771,-0.016551286,-0.039582796,0.020275244,-0.025342679,0.038752537,-0.075651646
Ai Cho Tôi Tình Yêu (Vol 2),-0.016418759,-0.022085706,-0.00055967935,-0.008758003,0.021152627,0.013807358,0.019004729
Ai Cũng Hối Tiếc,0.01148369,-0.0065101245,-0.003247538,-0.04575947,0.0023412942,0.025952633,-0.05557712
Ai Khóc Ai Cười,0.015302176,-0.008142208,-0.003047162,-0.026792323,0.013716256,0.010394408,-0.04692083
Ai Khóc Nỗi Đau Này (Cover) (Single),-0.021861112,-0.011397669,0.056238532,0.014958231,0.046912085,-0.035516445,0.04726083
Ai Khóc Nỗi Đau Này (Single),-0.032868717,-0.028018445,0.04275471,0.084636174,0.001450634,0.0031882399,0.061455704
Ai Khổ Vì Ai,-0.0134758325,-0.02583173,0.034884404,0.0019221395,0.009869548,-0.04177805,0.029390324
Ai Là Ai Của Ai (Single),-0.0006060962,-0.009191515,0.006541945,-0.014195459,0.008706851,0.018119548,0.014808215
Ai Ngờ Ta Còn Thương (Single),-0.016678425,-0.0061787246,0.03392436,0.027806014,-0.0034165815,0.0028656684,0.05916541
Ai Nói Ai Nghe (Single),-0.025689915,0.001750341,0.010541489,-0.02408934,0.042952154,0.004783214,0.01674093
Ai Ra Xứ Huế,-0.0057179583,-0.019315172,-0.066540465,0.03244081,-0.032126874,0.048966415,-0.038821347
Ai Sẽ Cần Tôi,0.01214108,0.005960921,-0.00878224,0.0038361314,0.024881665,-0.0034893714,-0.015452795
Ai Yêu Anh Bằng Em (Single),0.023821712,0.016621552,0.015567732,-0.0018596671,-0.0030555606,-0.02713864,0.020610675
Ai Đã Cướp Nụ Hôn Của Anh (Single),-0.037380803,0.015043711,0.012159513,0.008031682,-0.028416127,0.02442101,0.014953512
Ai Đã Từng,-0.02079532,0.02514064,0.06755547,0.06828819,-0.029811006,0.0057537006,0.076856606
Ai Đã Từng (Single),0.02251098,-0.012652564,-0.045524526,-0.071080424,-0.006818554,0.021203026,-0.08390256
Ai Đó Từng Hứa (Single),0.007085496,0.0051138154,0.005194485,0.027520174,-0.0043724254,-0.008717696,0.013093425
Ai Đưa Em Về,-0.02870442,0.02093638,0.014454591,0.025895217,0.007275842,-0.007834681,0.0118135875
Ain't Nobody Love You (Single),-0.015511814,0.025434721,0.0021487214,0.007151765,-0.0034876757,0.0045451294,-0.011464099
Album Không Tiền,-0.012102095,0.0059712967,0.010590871,-0.0103194835,0.0057425215,-0.0072331605,-0.036406584
Album Khắc Việt Remix 2018,-0.0119263325,0.012035137,0.0024990137,0.025807014,-0.008556595,-0.011811218,-0.004470497
Album Lỡ Hẹn Câu Thề,-0.015387664,-0.021283984,0.008667599,0.0017077612,-0.0037289285,-0.01945878,0.007172537
Album Remix,-0.025587058,0.020771798,-0.004601512,-0.00018674173,0.00941292,0.011438689,0.014654778
Album Sing My Song season 1 - Team Nguyễn Hải Phong,-0.054225467,0.009252859,0.012263879,-0.0134108085,0.021458525,-0.01621589,0.00803021
Album bé Bảo An,-0.014154206,-0.000321648,-0.00910119,-0.006660419,-0.019484513,0.012168266,0.004787727
Amen,0.0028355287,0.010249635,-0.0059700543,-0.034209117,0.041967288,0.04028226,0.006843006
An Toàn Là Trên Hết (Single),0.0047332025,-0.017519549,-0.00843071,0.01173732,0.022762468,-0.021447001,0.011115064
Ana Tình,0.0060947696,0.006359992,0.00010620207,0.0010671809,0.012418861,-0.0012240179,-0.010161627
Anh Chẳng Sao Mà (Cover) (Single),-0.020062927,-0.00875409,0.0033782597,0.011559328,-0.010026099,-0.023070326,0.0031527071
Anh Chẳng Sao Mà (Remix) (Single),0.0026488225,-0.021756735,-0.0069963923,0.00035444423,-0.041430313,-0.008862355,0.031082964
Anh Chẳng Sao Mà (Single),-0.005487001,0.010834902,0.010243028,0.00535381,0.019381052,-0.04985664,0.015066127
Anh Chỉ Muốn (Single),0.003113544,0.0091892015,-0.0006623693,-0.0018213919,-0.020521304,-0.022392554,-0.018343909
Anh Có Tài Mà (Single),-0.0047670305,-0.025548216,-0.0037289783,-0.017205577,0.025035823,0.007175202,0.03093713
Anh Có Đang Lắng Nghe (Single),0.008466375,0.018009886,0.03367781,0.04785043,0.000798212,-0.0064171143,0.08181419
Anh Ghét Em (Single),-0.018062644,-0.0026469477,-0.020489393,0.0014379866,0.029445048,0.004498215,-0.031536315
Anh Không Buồn Đâu (Remix) (Single),0.013869581,-0.005435699,-0.0057821134,0.009438205,0.035389386,-0.031804986,-0.004256657
Anh Không Hối Tiếc (Single),-0.0056242137,-0.027550256,-0.0075399824,0.02285697,-0.031061212,-0.0038504768,-0.0035004995
Anh Không Muốn Bất Công Với Em (Single),-0.0054201083,0.018849801,0.03248755,0.013365018,0.0042698593,-0.004909633,0.04831472
Anh Không Muốn Làm Người Lạ,0.0043339087,0.025753608,0.041028555,-0.01159252,-0.005130082,-0.021543343,0.017050916
Anh Không Muốn Làm Người Lạ (Single),-0.03669827,-0.03602805,0.012795557,0.026229277,0.03295781,-0.010577047,0.028509503
Anh Không Quên,0.05505718,-0.012204708,-0.029239323,-0.0222354,0.020417204,0.0034699745,-0.03386549
Anh Không Thể Làm Gì Hơn (Single),0.029628236,-0.0037465668,-0.025831724,-0.041992046,-0.011006169,0.006417674,-0.04007974
Anh Không Thể Quên ( I won't forget baby),-0.007703672,-0.017055422,0.05122087,0.030989831,-0.014891246,-0.0054895906,-0.0018969089
Anh Không Thể Quên Cảm Giác Còn Lại (EP),0.037760943,-0.0010702729,-0.014760563,-0.04457566,-0.0060544917,0.03987469,-0.050119907
Anh Không Tin,-0.004791831,-0.024837285,0.014742443,0.009594016,0.019104928,0.0009808426,0.05797277
Anh Không Vui Chơi Đâu (Single),0.012883142,0.011589018,0.012390564,-0.009192961,0.016242396,-0.030099373,0.023517648
Anh Luôn Cần Có Em (Single),-0.00054214225,0.012063198,-0.0070650307,-0.02050989,0.001161977,-0.0272345,0.031011546
Anh Luôn Tồn Tại (Single),-0.001395195,-0.0106628155,-0.035633754,-0.0073341923,-0.015684623,0.0005602852,-0.05122947
Anh Là Con Rối Của Em (Single),0.010415639,-0.00433306,-0.0033899173,-0.004683186,0.007329481,-0.01817828,-0.030292666
Anh Là Gió Em Là Cát (Single),0.018045597,-0.009816236,0.023477137,0.017600067,0.019302927,-0.010231983,0.050524544
Anh Là Người Không Quen (Single),0.004032109,0.01474295,-0.051025324,-0.0068842852,-0.010469207,0.03720712,-0.06389914
Anh Lầm (Single),-0.0020981017,-0.0016494306,0.006039233,-0.026008774,-0.0209975,-0.017545726,0.0017574795
Anh Mong Quay Về (Single),0.022744088,-0.009145224,0.036012303,0.0049195164,0.0037994548,-0.0041335537,0.015597789
Anh Muốn Nghe Giọng Em (Single),-0.0056679463,0.0009998992,-0.0037815801,-0.0057455236,-0.009121403,0.016820766,0.017378312
Anh Muốn Ta Chia Tay (Single),-0.0076294774,-0.01442783,0.03601452,0.0086743785,0.004867391,-0.00054033694,0.06348495
Anh Phải Buông (Single),0.0053835227,-0.00091652834,0.006669241,0.013367829,-0.0034882422,-0.0047456697,0.04723109
Anh Phải Quên (Single),0.039458,0.012345113,-0.040783785,-0.035638798,-0.019290363,0.020936785,-0.07278997
Anh Phải Tập Quên (Single),0.0181594,-0.004412894,-0.002093181,-0.035636164,0.0034543066,-0.013402263,-0.013535964
Anh Say Rồi (Single),-0.028840939,0.003448683,-0.0036048046,-0.027448002,0.0031699617,-0.019559545,-0.01165584
Anh Sẽ Hối Hận (Single),-0.022386568,-0.0025561303,0.013655325,-0.014187254,-0.011553414,0.02049006,0.052508343
Anh Sẽ Không Nói Yêu Em (Single),-0.043279827,-0.020533895,-0.013208774,-0.015730845,0.012128508,-0.0257429,0.033451542
Anh Sẽ Kể Em Nghe,0.004976985,0.004464916,-0.044743896,0.004799746,-0.04875853,0.027484428,-0.08537544
Anh Sẽ Phạt Em (Single),-0.008863532,0.01540179,0.022791747,-0.0040957723,0.0070292642,-0.019815853,-0.015414327
Anh Sẽ Quên (Single),-0.0056746304,-0.018522343,0.0061111203,0.0021556322,0.018147644,-0.0133166,0.0008711569
Anh Sẽ Về (Single),-0.016730547,-0.00011956356,0.0039712815,0.00916574,-0.009236973,-0.026496116,0.004983938
Anh Sẽ Về Sớm Thôi (Single),-0.014639269,-0.0207043,0.016085964,0.01040707,-0.0170645,0.02528501,0.029950839
Anh Thua Rồi (Single),-0.0013090305,-0.0055017085,0.042056516,0.021597266,0.021473965,-0.013829224,0.044226486
Anh Thì Không (Yêu Ư Để Sau OST) (Single),-0.007334292,-0.012737609,-0.0009801395,0.010110298,-0.016887937,0.00028607063,-0.0044862838
